Sr. No.,Terminology / Document,Defination,Who creates / sends it (If any),Who recevies it (If Any),Purpose,"If not available, whats the issue?"
190.0,Backorder,An order for a product that is temporarily out of stock but expected soon.,Sales Dept / WMS,Customer / Procurement,To retain a sale and notify the customer that the item will ship later.,Lost sales; customer dissatisfaction; lack of demand forecasting.
191.0,RMA (Return Merchandise Authorization),A numbered authorization used to return a product to the warehouse.,Customer Service,Customer / Returns Dept,"To track and validate returns for inspection, repair, or refund.",Chaos in the returns area; unable to verify if a return is legitimate.
192.0,Dock Audit,A quality check performed on finished pallets right before they are loaded.,Quality Control (QC),Shipping Supervisor,"To ensure the right items, labels, and packaging are present before leaving.","High ""cost of quality"" due to shipping errors and customer complaints."
193.0,Inventory Aging Report,A document showing how long stock has been sitting in the warehouse.,WMS / Inventory Analyst,Finance / Sales Manager,To identify slow-moving orobsolete stock that needs to be cleared.,"High holding costs; capital tied up in ""dead"" inventory."
194.0,Quarantine Area,"A designated space for goods that are damaged, expired, or pending inspection.",Quality Control (QC),Receiving Team,"To prevent ""unfit"" stock from being mixed with sellable inventory.",Risk of shipping damaged or unsafe goods to customers.
196.0,3PL (Third-Party Logistics),An outsourced provider that handles warehouse and distribution services.,Service Provider,Business Owner,To allow a company to scale operations without owning physical warehouses.,High overhead costs for small businesses trying to manage their own logistics.
197.0,"FIFO (First-In, First-Out)",An inventory management method where the oldest stock is shipped first.,Operations Manager,Warehouse Pickers,"To ensure product rotation, especially for perishable items or electronics.",Product spoilage; obsolete stock; financial losses due to expired goods.
199.0,Velocity Slotting,Organizing the warehouse based on how frequently items are picked.,WMS / Facility Planner,Floor Staff,"To place ""fast-movers"" near the shipping area to reduce travel time.",High labor costs; slow fulfillment cycles; worker fatigue.
201.0,Pallet Pattern,A diagram showing how cases should be stacked on a pallet for stability.,Warehouse Engineer,Packers / Loaders,To maximize space and prevent products from collapsing during transit.,Damaged goods due to shifting; inefficient use of truck space.
202.0,Pick-to-Light,A system using lights and LEDs on racks to guide pickers to items.,System Integrator,Warehouse Pickers,To increase picking speed and accuracy by removing the need\ for paper.,High error rates; slower training time for new warehouse staff.
203.0,Service Level Agreement (SLA),"A contract defining the expected level of service (e.g., shipping speed).",Client / Customer,Warehouse / 3PL,To set measurable performance standards and penalties for failure.,Lack of accountability; inconsistent service quality; disputes.
204.0,RF (Radio Frequency) Scanner,A handheld device used to scan barcodes and update the WMS in real-time.,IT Dept,Warehouse Staff,To eliminate manual data entry and ensure inventory accuracy.,High human error; delayed data updates; reliance on paper logs.
205.0,Pro Forma Invoice,A preliminary bill of sale sent to buyers in advance of a shipment.,Sales / Export Dept,Buyer / Customs,To provide a formal quote for customs or to secure pre-payment.,Delays in financing; customs clearance issues for international trade.
206.0,"LIFO (Last-In, First-Out)",An inventory method where the most recently produced items are sold first.,Finance / Accounting,Warehouse Pickers,Used for non-perishable goods or for specific tax/accounting benefits.,"Outdated stock stays at the back; potential for inventory ""drift."""
207.0,Dimensional Weight (Dim Weight),A pricing technique using volume (L x W x H) rather than actual weight.,Carrier,Shipper,To charge for the space a package occupies on a truck or plane.,Unexpectedly high shipping costs for light but bulky items.
209.0,Kitting,The process of taking individual items and bundling them into a single unit.,Inventory Manager,Warehouse Packers,"To simplify the sale of ""sets"" or ""bundles"" and speed up shipping.",Inefficient picking; inability to sell promotional bundles quickly.
210.0,Wave Picking,A picking strategy where multiple orders are grouped and picked together.,WMS / Floor Manager,Warehouse Pickers,"To reduce travel time by picking for many orders in one ""wave"" or trip.",Extreme congestion in aisles; sloworder processing for high volumes.
212.0,Inventory Shrinkage Report,A report documenting the difference between recorded and actual stock.,Inventory Auditor,Management / Loss Prevention,"To identify loss due to theft, damage, or administrative errors.",Financial leakage; inaccurate stock levels leading to overselling.
213.0,AS/RS,Automated Storage and Retrieval Systems; computer-controlled systems for placing/retrieving loads.,System Integrator,Warehouse Ops,To automate high-density storage and reduce manual labor.,High labor costs; slow retrieval in massive facilities.
214.0,Mezzanine,An intermediate floor built between main floors to increase storage space.,Facility Engineer,Warehouse Manager,To double or triple usable floor space without expanding the building footprint.,Overcrowding; wasted vertical space; high real estate costs.
215.0,Dunnage,"Padding material (air bags, foam, scrap) used to protect goods during transport.",Warehouse Packer,End Customer,To prevent movement and damage of goods inside a container or box.,High rate of damaged goods/returns; customer dissatisfaction.
216.0,Blind Receiving,A process where the receiver counts stock without knowing the expected quantity.,Inventory Manager,Receiving Clerk,"To ensure the clerk actually counts the stock rather than ""rubber- stamping"" the PO.",Inaccurate inventory counts; hidden shipping discrepancies.
217.0,Waybill,A document issued by a carrier giving details and instructions relating to the shipment.,Carrier,Consignee / Customs,To act as a non-negotiable receipt and tracking document for air/rail freight.,Inability to track cargo; legal issues at transit checkpoints.
218.0,Labor Management System (LMS),Software that tracks and evaluates the productivity of warehouse workers.,HR / Operations,Supervisors / Staff,To optimize staffing levels and identify training needs or high performers.,Low productivity; inability to track labor costs per order.
219.0,Incidents Report,"A formal document recording accidents, near-misses, or equipment damage.",Safety Officer,Management / OSHA,To track safety trends and implement corrective actions.,Repeated accidents; legal liability; high insurance premiums.
220.0,Free Trade Zone (FTZ),"A specific area where goods can be landed, handled, and manufactured without customs intervention.",Govt Authority,Importers / Manufacturers,To encourage commerce by deferring or eliminating duties and taxes.,Competitive disadvantage; high upfront customs costs.
221.0,Zone Picking,"A method where pickers are assigned to specific ""zones"" and pick only items in that area.",Warehouse Supervisor,Warehouse Pickers,To minimize travel time by keeping workers in a confined section of the warehouse.,"Inefficient travel paths; ""bottlenecks"" if one zone is busier than others."
222.0,Dock Leveler,Equipment used to bridge the gap between a warehouse dock and a truck bed.,Maintenance Team,Forklift Operators,To allow safe and smooth loading/ unloading of heavy pallets.,Forklift accidents; damaged goods during loading; slow operations.
223.0,Lot Tracking,The ability to track a group of items produced under the same conditions/date.,Quality Dept,WMS / Consumers,To facilitate targeted recalls in case of a product defect.,Inability to perform recalls; massive legal/ safety risks.
224.0,EDI (Electronic Data Interchange),The computer-to-computer exchange of business documents in a standard format.,IT / Partners,All Stakeholders,"To automate communication between suppliers, warehouses, and retailers.",Slow manual data entry; high risk of clerical errors.
225.0,Pick-to-Voice,A system where workers wear headsets and receive verbal picking instructions.,IT / WMS Provider,Warehouse Pickers,"To allow ""eyes-up, hands-free"" picking for higher speed and safety.",Slower picking; higher error rates due to distractions.
226.0,Re-warehousing,The process of moving items within a warehouse to optimize space or picking paths.,Inventory Analyst,Forklift Operator,"To adjust storage based on changing demand (e.g., seasonal items).","Inefficient picking; ""dead"" space in high- traffic areas."
227.0,MHE (Material Handling Equipment),"Mechanical equipment used for the movement and storage of goods (e.g., forklifts).",Procurement,Warehouse Staff,To move heavy loads that cannot be handled manually.,Inability to move stock; high risk of worker injury.
228.0,Cross-Training Record,A log showing which employees are trained on different warehouse tasks.,HR / Floor Manager,Management,To ensure operational flexibility when staff members are absent.,"Operational halts if a ""key"" person is missing; low morale."
229.0,Dead Stock,Inventory that has no sales or usage for a long period of time.,Inventory Analyst,Finance Dept,To identify items that should be liquidated or disposed of to save space.,"High holding costs; lack of space for new, profitable items."
230.0,Carton Flow Rack,A storage system using inclined rollers to allow boxes to slide forward.,Facility Planner,Pickers,To ensure FIFO at the picking face and reduce reaching for workers.,Inefficient picking; messy aisles; stock hidden at the back.
231.0,Load Plan,A diagram or list showing how cargo should be arranged in a truck/container.,Logistics Planner,Loader / Driver,To balance weight distribution and ensure the last-stop items are loaded last.,Vehicle instability/accidents; excessive unloading time at stops.
232.0,Cold Chain Log,A record of temperature readings for perishable goods during storage/transit.,Quality Control,Regulatory Bodies,To prove that food or medicine remained at safe temperatures.,Product spoilage; health risks; rejection of entire shipments.
233.0,Slipsheet,"A thin, pallet-sized sheet of plastic or fiberboard used for heavy loads.",Shipper,Receiver,To save space and weight in shipping containers compared to wooden pallets.,Inefficient space usage; higher shipping costs due to pallet weight.
234.0,Bollard,"A short, sturdy post installed to protect racks and walls from forklift impact.",Facility Manager,Maintenance Team,To prevent structural damage to the warehouse during vehicle maneuvers.,Expensive repairs; risk of rack collapse from accidental bumps.
235.0,Honeycomb,"A situation where storage cells are only partially filled, wasting space.",Inventory Analyst,Warehouse Manager,Term used to identify and fix inefficient storage patterns.,Wasted storage capacity; increased footprint costs.
236.0,Value-Added Services (VAS),"Extra tasks like labeling, gift wrapping, or assembly performed in the warehouse.",Client / Customer,Warehouse Team,To customize products for the end consumer before they ship.,Missed revenue; inability to meet specific retailer requirements.
237.0,Last Mile Delivery,"The final leg of the logistics journey, from the warehouse to the customer's door.",Dispatcher,End Customer,To ensure the product reaches the final user efficiently.,Poor customer experience; high shipping costs; delivery failures.
238.0,Floor Loading,Stacking goods directly on the floor of a container rather than on pallets.,Loading Supervisor,Receiver,To maximize every cubic inch of space in an ocean container.,Slower unloading times; requires more manual labor at the destination.
239.0,Batch Picking,Picking all the items for a group of orders at once to minimize trips.,WMS,Warehouse Picker,To increase efficiency by visiting one location to fulfill multiple orders.,Extremely high travel time for pickers; low productivity.
240.0,Cantilever Rack,"Storage racks with arms that extend out, used for long items like pipes or lumber.",Procurement,Operations Team,To safely store oversized or awkwardly shaped materials.,Safety hazards; damage to long materials; inefficient storage.
241.0,Reach Truck,A type of forklift designed to reach into deep racking systems.,Fleet Manager,Operator,To operate in narrow aisles and reach high-density storage levels.,Inability to use high-level storage; requirement for wider aisles.
242.0,Dock Lock,A safety device that hooks onto a truck's rear underride guard to prevent it from moving.,Warehouse Safety,Truck Driver,"To prevent ""trailer creep"" or accidental pull-outs while loading.",Forklift falls from the dock; serious injuries or death.
243.0,Gaylord Box,"A large, pallet-sized corrugated box used for bulk shipping or scrap collection.",Packaging Supplier,Warehouse Staff,To consolidate loose parts or bulk waste for easy transport.,Messy warehouse floor; difficulty handling bulk small items.
244.0,RFID Tag,A tag that uses radio waves to transmit data about an item without direct line-of-sight.,Manufacturer,Warehouse Receiving,"To allow for instant, bulk counting of items in a box or pallet.",Manual scanning required; slower receiving and inventory counts.
245.0,Order Consolidation,Grouping items from different areas of the warehouse into one single shipment.,WMS / Packer,Customer,"To reduce shipping costs and provide a better ""unboxing"" experience.",High shipping costs (paying for multiple boxes for one order).
246.0,Cycle Time,"The total time it takes to complete a warehouse process (e.g., dock-to-stock).",Operations Analyst,Management,To measure and improve the speed of warehouse operations.,Process bottlenecks; inability to meet customer delivery promises.
247.0,Ebb and Flow,The fluctuation of inventory levels based on seasonal demand.,Planning Dept,Warehouse Manager,To plan for temporary labor and extra space during peak seasons.,Overstaffing during slow
248.0,Purchase Requisition (PR),An internal document requesting the purchase of goods or services.,Department Head / Employee,Procurement Department,To initiate the purchasing process and secure budget approval.,Unauthorized spending; procurement cannot officially begin sourcing.
249.0,Request for Quotation (RFQ),A document sent to suppliers asking for pricing and terms for specific items.,Procurement / Sourcing Buyer,Suppliers / Vendors,To compare prices and select the most cost-effective vendor.,Overpaying for goods; inability to compare market rates fairly.
250.0,Request for Proposal (RFP),A detailed document seeking comprehensive solutions and pricing for complex projects.,Procurement / Project Manager,Vendors / Service Providers,To evaluate potential suppliers based on value methodology and price.,Selection of an unqualified vendor; misalignment on project scope and deliverables.
251.0,Request for Information (RFI),A preliminary document used to gather general information about potential suppliers.,Procurement,Suppliers / Vendors,To build a database of potential vendors for future sourcing.,Lack of market awareness; missing out on capable new suppliers.
253.0,Goods Receipt Note (GRN),An internal document acknowledging the delivery and acceptance of goods.,Receiving Dept / Warehouse,Procurement / Finance,To confirm items were received in good condition before payment.,Paying for goods that were never delivered or arrived damaged.
254.0,Procure-to-Pay (P2P),The end-to-end process cycle from identifying a need to paying the supplier.,Procurement / Finance,Internal Stakeholders / Suppliers,To streamline purchasing and ensure accurate financial settlement.,Process bottlenecks; delayed vendor payments; financial inaccuracies.
255.0,Three-Way Matching,"The process of comparing the Purchase Order, the GRN, and the supplier invoice.",Accounts Payable / Finance,Procurement / Auditors,To ensure payment is only made for goods requested and received.,Invoice fraud; overpayment; paying for unreceived goods.
256.0,Supplier Scorecard,A tracking tool used to evaluate a vendor's performance over time.,Procurement / Vendor Manager,Supplier / Internal Management,"To measure KPIs like delivery time, quality, and responsiveness.",Continuing to use poor-performing vendors; supply chain disruptions.
258.0,Bill of Materials (BOM),"A comprehensive list of raw materials, components, and instructions required to construct a product.",Engineering / Planning,Procurement / Manufacturing,To ensure exactly the right materials are sourced for production.,Purchasing incorrect parts; complete halt of the manufacturing line.
259.0,Total Cost of Ownership (TCO),A financial estimate combining the purchase price and the direct/indirect costs of operation.,Procurement Analyst,Management / Finance,To evaluate the long-term cost of an asset beyond just the initial price tag.,"Buying a ""cheap"" item that ends up costing excessively in maintenance and operation."
260.0,Vendor Managed Inventory (VMI),An arrangement where the supplier manages and replenishes inventory at the buyer's location.,Supplier,Procurement / Warehouse,To reduce inventory holding costs and prevent stockouts.,Higher warehousing costs; frequent stockouts of critical materials.
261.0,Blanket Purchase Order (BPO),A long-term agreement with a supplier to buy goods at a set price over a period of time.,Procurement,Supplier,To secure volume discounts and simplify repetitive purchasing.,Constant administrative work for minor orders; lost volume discounts.
262.0,Spend Analysis,"The process of collecting, cleansing, and evaluating purchasing data.",Procurement Analyst,Procurement Head / CFO,To identify cost-saving opportunities and understand spending patterns.,Unnoticed rogue spending; missed opportunities for bulk negotiations.
263.0,Lead Time,The total time elapsed between placing an order and receiving the goods.,Procurement / Planning,Production / Operations,To accurately plan inventory levels and production schedules.,Stockouts; production delays while waiting for materials to arrive.
264.0,Sourcing,"The process of identifying, evaluating, and engaging suppliers.",Procurement,,To find the most reliable and cost-effective supply base.,Limited supplier options leading to higher costs and lower quality.
265.0,E-Procurement,The business-to-business requisitioning and purchasing of goods over the internet.,Procurement / IT,Internal Users / Suppliers,To automate manual procurement tasks and increase transparency.,Slow manual processes; high paperwork costs; human errors in ordering.
266.0,Master Service Agreement (MSA),A contract negotiated to govern all future transactions and agreements between parties.,Legal / Procurement,Supplier / Legal,To speed up future contracts by agreeing on foundational terms upfront.,Lengthy legal negotiations for every single minor purchase or project.
267.0,Non-Disclosure Agreement (NDA),A legal contract protecting sensitive information shared during the sourcing process.,Legal / Procurement,Supplier,To ensure proprietary company data is not shared with competitors.,Data breaches; intellectual property theft.
268.0,Supplier Relationship Management (SRM),A systematic approach to evaluating and managing vendor relationships.,Procurement Head,Suppliers,To build strategic partnerships and drive continuous improvement.,Strained vendor relations; lack of innovation or priority during shortages.
269.0,Maverick Spend,Purchasing goods or services outside of established contracts or procedures.,Internal Employees,,N/A (This is a negative behavior tracked to prevent it),Loss of negotiated discounts; compliance risks; budget overruns.
270.0,Contract Lifecycle Management (CLM),The proactive management of a contract from initiation to renewal or termination.,Contract Manager,Legal / Suppliers,To ensure compliance and avoid missing renewal deadlines.,Expired contracts; unintentional auto-renewals; compliance violations.
271.0,Supplier Onboarding,The process of collecting data and integrating a new vendor into the purchasing system.,Procurement / Master Data,New Supplier,To ensure the vendor meets all legal and financial compliance standards before doing business.,Fraudulent vendors; tax compliance issues; payment delays.
272.0,Strategic Sourcing,A comprehensive approach to sourcing that focuses on the total value and long-term goals.,Sourcing Manager,Executive Management,To align purchasing strategies with the overall business objectives.,Tactical buying that focuses only on lowest price rather than overall value.
273.0,Just-in-Time (JIT) Procurement,A strategy where materials are ordered to arrive exactly when they are needed in production.,Procurement / Planning,Suppliers,To minimize inventory holding costs and reduce warehouse space requirements.,High storage costs; inventory obsolescence; capital tied up in stock.
274.0,Minimum Order Quantity (MOQ),The smallest amount of stock a supplier is willing to sell in a single order.,Supplier,Procurement,To ensure the supplier covers their setup and production costs.,Orders are rejected by the supplier; forced to buy more stock than needed.
275.0,Safety Stock,Extra inventory held to guard against unexpected spikes in demand or supply delays.,Inventory Planning,Warehouse,To act as a buffer against supply chain disruptions.,Severe stockouts leading to halted production or lost sales.
276.0,Category Management,The practice of grouping similar items to buy them more efficiently.,Category Manager,Suppliers,To leverage buying power and develop deep market expertise in specific areas.,Fragmented purchasing; missed volume discounts across different departments.
277.0,Statement of Work (SOW),"A document defining project-specific activities, deliverables, and timelines.",Project Manager / Procurement,Service Provider,To set clear boundaries and expectations for a service contract.,Scope creep; disputes over what work was actually paid for.
278.0,Two-Way Matching,Verifying that the Purchase Order and the Invoice match (typically used for services where there is no GRN).,Accounts Payable,Supplier,To authorize payment for intangible services.,Paying for services that were not agreed upon or authorized.
279.0,Cost Avoidance,Actions taken to prevent future cost increases rather than reducing current costs.,Procurement,Finance / Management,To protect the budget from inflation or upcoming price hikes.,Uncontrolled budget inflation; hidden supply chain costs.
280.0,Cost Savings,Tangible reductions in the unit price of goods or services compared to historical prices.,Procurement,Finance / Management,To directly improve the company's bottom line profitability.,Stagnant profitability; failure to leverage market changes.
281.0,Invoice Processing,The steps taken to handle a supplier invoice from receipt to final payment.,Accounts Payable,Supplier,To ensure timely and accurate settlement of debts.,Late payment fees; damaged supplier relationships.
282.0,Payment Terms,The conditions under which a seller will complete a sale (e.g. Net 30 or Net 60).,Procurement / Finance,Supplier,To manage the company's cash flow effectively.,Cash flow shortages; disputes over when payment is due.
283.0,Open Account,A trade arrangement where goods are shipped and delivered before payment is due.,Supplier,Procurement,To provide flexible purchasing without immediate upfront cash.,High risk for the supplier; requires strong buyer creditworthiness.
284.0,Incoterms,International rules defining the responsibilities of buyers and sellers in global trade.,International Chamber of Commerce,Procurement / Logistics,To clearly define who pays for shipping and who bears the risk of loss.,Legal disputes over damaged cargo; unexpected freight or insurance costs.
286.0,Reverse Auction,An event where multiple sellers compete to obtain business by lowering their prices.,Procurement,Suppliers,To rapidly drive down prices for highly standardized commodities.,Overpaying for standard goods; slow manual negotiation processes.
287.0,Supplier Code of Conduct,Guidelines detailing the ethical and environmental standards expected from vendors.,Compliance / Procurement,Suppliers,To ensure suppliers align with the company's ESG and legal standards.,Public relations disasters; association with unethical labor or environmental practices.
288.0,Direct Procurement,Purchasing raw materials and components directly used in manufacturing the final product.,Procurement,Suppliers,To maintain the core production line and revenue generation.,Production line stoppages; immediate loss of sales.
289.0,Indirect Procurement,Purchasing goods and services needed for day-to-day operations (e.g. software or office supplies).,Procurement,Suppliers,To keep the business running and support internal employees.,Inefficient workplace operations; employee frustration; unchecked operational spending.
290.0,Order Acknowledgement,A supplier's formal confirmation that they have received and accepted a Purchase Order.,Supplier,Procurement,To confirm that pricing and delivery dates are agreed upon.,Uncertainty if goods will arrive; supplier unexpectedly rejects the order later.
292.0,Early Payment Discount,A percentage deduction offered by a seller if the buyer pays the invoice before its due date.,Supplier,Accounts Payable / Finance,To incentivize fast payment and improve the supplier's cash flow.,Missed opportunities for immediate cost savings; higher overall purchase costs.
293.0,Project Charter,A document that formally authorizes the existence of a project.,Project Sponsor,Project Manager,Provides the PM authority to use organizational resources.,"No clear authority; project may be seen as ""unauthorized."""
294.0,Business Case,"A justification for the project based on cost, benefits, and risks.",Sponsor / Business Analyst,Steering Committee,To prove the project is worth the investment.,Money may be wasted on projects with no ROI.
295.0,Stakeholder Register,A list identifying all people or groups interested in the project.,Project Manager,Project Team,To track influence and communication needs.,"Key people might be ignored, leading to resistance."
296.0,Scope Statement,A detailed description of project deliverables and boundaries.,Project Manager,Client / Team,To define what is (and isn't) included in the project.,"""Scope creep"" where work grows uncontrollably."
297.0,WBS (Work Breakdown Structure),A hierarchical decomposition of the total scope of work.,Project Team,Project Manager,To break down complex tasks into manageable chunks.,Tasks are missed; poor cost and time estimation.
298.0,Project Management Plan,The master document defining how the project is executed and controlled.,Project Manager,All Stakeholders,To provide a baseline for progress and decision-making.,Lack of direction; team works in silos.
299.0,Gantt Chart,"A visual timeline showing tasks, durations, and dependencies.",Project Manager,Project Team / Client,To track the schedule and see task overlaps.,Deadlines are missed; team doesn't know what's next.
300.0,Risk Register,"A log of potential ""what-if"" scenarios and their response plans.",Project Team,Project Manager,To identify and mitigate threats before they happen.,Project is blindsided by predictable problems.
301.0,RACI Matrix,"A chart showing who is Responsible, Accountable, Consulted, and Informed.",Project Manager,Project Team,To clarify roles and avoid confusion over task ownership.,"Duplicate work or tasks ""falling through the cracks."""
302.0,Change Request,"A formal proposal to modify any document, deliverable, or baseline.",Any Stakeholder,Change Control Board (CCB),To ensure changes are evaluated for impact on cost/time.,Uncontrolled changes lead to budget and time overruns.
303.0,Issue Log,A record of current problems affecting the project.,Project Manager,Project Team,"To document, track, and resolve active hurdles.",Problems are forgotten and escalate into disasters.
304.0,Status Report,A regular update on the current health of the project.,Project Manager,Sponsor / Client,To keep stakeholders informed on progress vs. plan.,Stakeholders lose trust or lack visibility.
305.0,Quality Management Plan,Standards and criteria the project must meet to be successful.,Quality Lead / PM,Project Team,To ensure the final product is fit for use.,High defect rates and client dissatisfaction.
306.0,Resource Calendar,A schedule showing when specific resources (people/equip) are available.,Resource Manager,Project Manager,To avoid over-allocating people or tools.,Resource conflicts; team members are overworked.
307.0,Procurement Statement of Work,A description of work to be done by an outside vendor.,Project Manager,Potential Vendors,To clearly define what a contractor must deliver.,"Disputes with vendors over what was ""promised."""
308.0,Milestone List,A list of significant points or events in a project.,Project Manager,Client / Sponsor,To show high-level progress without getting lost in details.,"Hard to judge if the project is ""on track"" overall."
309.0,Communication Plan,"A strategy for who gets what info, when, and how.",Project Manager,All Stakeholders,To ensure the right people are always informed.,Information silos; stakeholders feel left out.
310.0,Critical Path,The sequence of tasks that determines the shortest project duration.,Project Manager,Project Team,To identify tasks that cannot be delayed without delaying the project.,Inability to prioritize tasks that impact the end date.
311.0,Lesson Learned Register,A document recording what went well and what didn't.,Project Team,Organization (PMO),To improve performance in future projects.,Repeating the same mistakes in the next project.
312.0,Project Closure Report,A formal document confirming the project is finished.,Project Manager,Sponsor / Client,To handover deliverables and release resources.,"Projects ""drag on"" indefinitely without a clean end."
313.0,Product Backlog,An ordered list of everything that might be needed in the product.,Product Owner,Scrum Team,To serve as the single source of requirements for any changes.,Team lacks a clear priority of what to build next.
314.0,Sprint Backlog,A set of backlog items selected for a specific Sprint (short work cycle).,Development Team,Scrum Team,To define the work the team commits to doing in the next 2-4 weeks.,Lack of focus during the work cycle; over-commitment.
315.0,Burn-down Chart,A graphic representation of work left to do versus time.,Scrum Master / PM,Project Team,To track the progress of a sprint and predict if work will finish.,Team won't realize they are behind until the deadline hits.
316.0,Velocity,A measure of the amount of work a team can tackle during a single period.,Development Team,Product Owner / PM,To help in planning future capacity and timelines.,"Unrealistic scheduling and ""guess-work"" planning."
317.0,Cost Performance Index (CPI),A measure of the financial effectiveness of a project ($EV / AC$).,Project Manager,Sponsor / Stakeholders,To see if the project is under or over budget.,"Financial ""bleeding"" goes unnoticed until funds run out."
318.0,Schedule Performance Index (SPI),A measure of schedule efficiency ($EV / PV$).,Project Manager,Sponsor / Stakeholders,To see if the project is ahead of or behind schedule.,"Delays are not quantified, making recovery difficult."
319.0,Assumption Log,A record of all factors believed to be true without proof.,Project Manager,Project Team,To track variables that could become risks if proven false.,"Decisions are made based on ""guesses"" that may fail."
320.0,Quality Metrics,"Specifically defined attributes to be measured (e.g., failure rate).",Quality Lead,Project Team,"To provide an objective way to measure ""success.""","Quality is subjective; arguments over ""finished"" work."
321.0,Responsibility Assignment Matrix (RAM),A grid showing project resources assigned to each work package.,Project Manager,Functional Managers,To ensure every task has a body assigned to it.,Resources are under-utilized or double-booked.
322.0,Variance Analysis,The practice of comparing planned results with actual results.,Project Manager,Project Board,To identify why the project is deviating from the plan.,No understanding of why the project is failing or succeeding.
323.0,Kick-off Meeting Agenda,A document outlining the first formal meeting with all stakeholders.,Project Manager,All Stakeholders,To align everyone on goals and set the tone for the project.,Confusion from day one; lack of team cohesion.
325.0,SLA (Service Level Agreement),A contract between a service provider and a customer.,Service Provider,Client,"To define the level of service (uptime, speed) expected.",No legal recourse if the service provider performs poorly.
326.0,Definition of Done (DoD),A shared understanding of what it means for work to be complete.,Project Team,Stakeholders,"To ensure quality and prevent ""half-baked"" deliverables.","Tasks are marked ""done"" but still require bug fixes later."
327.0,Baseline (Schedule/Cost),The original approved version of the project schedule or budget.,Project Manager,Sponsor,"To serve as the ""yardstick"" for measuring performance.",No way to know if you are over budget or late.
328.0,User Stories,"Informal, natural language descriptions of features from the end-user's view.",Product Owner / User,Development Team,To capture functional requirements in a way that provides value.,Features are built that the customer doesn't actually want.
329.0,Histogram (Resource),A bar chart showing the amount of time a resource is scheduled.,Project Manager,Resource Manager,"To visually identify resource overloads or ""burnout.""",Team members are overworked while others sit idle.
330.0,Probability and Impact Matrix,A grid mapping the likelihood and severity of risks.,Risk Manager / PM,Project Team,To prioritize which risks need immediate attention.,"Waste of time focusing on ""unlikely"" or ""minor"" risks."
331.0,Change Log,A list of all changes submitted and their current status.,Project Manager,Stakeholders,To keep a history of how the project evolved from the original plan.,No record of why the budget or scope increased.
332.0,Final Deliverable Acceptance,A formal sign-off from the customer on the end product.,Client / Customer,Project Manager,To legally and professionally close the project and stop work.,"The client keeps asking for ""one more thing"" forever."
333.0,SIPOC Diagram,"A tool to document Suppliers, Inputs, Process, Outputs, and Customers.",Project Team,Stakeholders,To provide a high-level view of a process before detailing it.,Misunderstanding of where the project boundaries start/end.
334.0,Ishikawa (Fishbone) Diagram,A visualization tool to categorize potential causes of a problem.,Project Team,Project Manager,To identify the root cause of an issue rather than just symptoms.,Solving the wrong problem; issues keep recurring.
335.0,Monte Carlo Simulation,A computerized mathematical technique to account for risk in quantitative analysis.,Data Analyst / PM,Sponsor,To predict the probability of completing a project on a specific date.,"Unrealistic confidence in a single ""best-case"" date."
336.0,Work Package,The lowest level of the Work Breakdown Structure (WBS).,Project Manager,Team Lead,To define specific tasks that can be estimated and managed.,Work is too vague to assign or estimate accurately.
337.0,Kanban Board,A visual workflow tool that uses cards to represent work items.,Project Team,Project Team,To manage work-in-progress (WIP) and optimize flow.,"Work gets ""stuck"" in bottlenecks without being noticed."
338.0,Critical Success Factors (CSF),Key areas that must go right for the project to be a success.,Project Sponsor,Project Manager,To focus the team's energy on the most important variables.,"Efforts are wasted on ""nice-to-have"" features that don't matter."
339.0,Contingency Reserve,"Budget or time set aside for ""known-unknowns"" (identified risks).",Project Manager,Project Team,To handle risks that were predicted in the Risk Register.,Project runs out of money as soon as a single risk occurs.
340.0,Management Reserve,"Budget set aside for ""unknown-unknowns"" (unforeseen events).",Sponsor,Project Manager,To provide a safety net for totally unexpected disasters.,"Project is cancelled if a random, unpredicted crisis hits."
341.0,Pareto Chart,A bar graph where values are plotted in decreasing order of frequency.,Quality Manager,Project Team,To follow the 80/20 rule (focus on the 20% of causes creating 80% of problems).,Fixing minor issues while the biggest failures are ignored.
342.0,Earned Value (EV),The value of work actually performed expressed in terms of the budget.,Project Manager,Finance Dept,"To measure the ""true"" progress of a project vs. money spent.","Thinking you are ""under budget"" just because you haven't spent much."
343.0,Product Roadmap,A high-level visual summary that maps out the vision of a product over time.,Product Manager,Stakeholders,To communicate the long-term strategy and direction.,"The team focuses on immediate tasks and loses the ""big picture."""
344.0,S.O.W. (Statement of Work),"A narrative description of products, services, or results to be delivered.",Client,Project Manager,To define the technical and performance requirements of a contract.,Legal disputes over what was supposed to be built.
345.0,Velocity Trend,A tracking of velocity over multiple sprints.,Scrum Master,Product Owner,To see if the team is becoming more or less efficient over time.,Inability to forecast long-term release dates for the product.
346.0,Retrospective Minutes,Notes from a meeting where the team discusses how to improve.,Scrum Master,Project Team,To implement process improvements immediately.,The team continues to work in an inefficient or toxic way.
347.0,Feasibility Study,An assessment of the practicality of a proposed plan or method.,Subject Matter Expert,Sponsor,To determine if a project is technically or financially possible.,Investing millions into a project that is impossible to finish.
348.0,Resource Leveling,A technique in which start/finish dates are adjusted based on resource constraints.,Project Manager,Team Members,To ensure no one person is assigned 60 hours of work in a 40-hour week.,High staff turnover and burnout.
