Sr. No.,Terminology / Document,Defination,Who creates / sends it (If any),Who recevies it (If Any),Purpose,"If not available, whats the issue?"
181,Cross-Docking,"A logistics practice where products are unloaded 
and loaded directly with little to no storage.",Logistics Coordinator,Warehouse Staff,"To reduce handling time and
storage costs by moving goods
quickly to the next leg.","Higher storage costs; increased lead
times for time-sensitive goods."
182,Cycle Counting,"An inventory auditing procedure where a 
small subset of inventory is counted on a specific day.",Inventory Controller,Management / Audit Team,"To maintain high inventory
accuracy without closing the
entire warehouse for a full count.","Large inventory discrepancies; financial
reporting errors; stockouts."
183,Safety Data Sheet (SDS),"A document providing info on handling, storage,
and emergency measures for chemicals/hazmat.",Manufacturer / Supplier,Warehouse Safety Officer,"To ensure safe handling and
compliance with health and safety
regulations.","Legal penalties; extreme danger to staff
during spills or fires."
184,Putaway List,"A set of instructions detailing where received goods
should be stored.",WMS / Receiving Manager,Forklift Operator,"To ensure items are stored in the
most efficient location for later
retrieval.","Lost inventory; cluttered aisles;
""honeycombing"" (inefficient space use)."
185,Tally Sheet,"A manual or digital count sheet used to record items
during loading or unloading.",Receiving/Shipping Clerk,Warehouse Supervisor,"To cross-verify physical counts
against the manifest in real-time.","Inaccuracies between system data and
physical stock; shipping errors."
186,Master Bolter/Bill,"A summary document used when multiple small
shipments are consolidated into one large load.",Freight Forwarder,Carrier / Port Authority,"To simplify documentation for bulk
transport of various smaller orders.","Confusion at customs or checkpoints;
difficulty tracking individual parcels."
187,Manifest,"A comprehensive list of all cargo on a specific
vehicle or container.",Logistics Coordinator,Carrier / Gate Security,"To provide a summary of the
entire vehicle's load for security
and logistics.","Security delays; inability to verify if a
truck is fully loaded/unloaded."
188,Deadheading,"Running a commercial vehicle or container without
any cargo (empty).",Dispatcher,Driver / Fleet Manager,"To relocate equipment to a high-
demand area where cargo
is waiting.","High fuel waste and loss of revenue for
the transport department."
189,LTL (Less Than Truckload),"A shipping mode for relatively small freight that
doesn't fill an entire truck.",Shipping Manager,Carrier / 3PL Provider,"To save costs by sharing truck
space with other shippers.","High shipping costs if forced to pay for a
full truck (FTL) for small loads."
190,Backorder,"An order for a product that is temporarily out of stock
but expected soon.",Sales Dept / WMS,Customer / Procurement,"To retain a sale and notify the
customer that the item will
ship later.","Lost sales; customer dissatisfaction;
lack of demand forecasting."
191,"RMA (Return Merchandise
Authorization)","A numbered authorization used to return a product
to the warehouse.",Customer Service,Customer / Returns Dept,"To track and validate returns for
inspection, repair, or refund.","Chaos in the returns area; unable to
verify if a return is legitimate."
192,Dock Audit,"A quality check performed on finished pallets right
before they are loaded.",Quality Control (QC),Shipping Supervisor,"To ensure the right items, labels,
and packaging are present before
leaving.","High ""cost of quality"" due to shipping
errors and customer complaints."
193,Inventory Aging Report,"A document showing how long stock has been
sitting in the warehouse.",WMS / Inventory Analyst,Finance / Sales Manager,"To identify slow-moving
orobsolete stock that needs
to be cleared.","High holding costs; capital tied up in
""dead"" inventory."
194,Quarantine Area,"A designated space for goods that are damaged,
expired, or pending inspection.",Quality Control (QC),Receiving Team,"To prevent ""unfit"" stock from
being mixed with sellable
inventory.","Risk of shipping damaged or unsafe
goods to customers."
195,Commercial Invoice,"A legal document for international shipments used
for customs declaration.",Shipper / Exporter,Customs / Importer,"To determine the value of goodsf
or taxes, duties, and border control.","Shipments held at customs; legal fines;
delivery delays."
196,3PL (Third-Party Logistics),"An outsourced provider that handles warehouse and
distribution services.",Service Provider,Business Owner,"To allow a company to scale
operations without owning physical
warehouses.","High overhead costs for small
businesses trying to manage their
own logistics."
197,"FIFO (First-In, First-Out)","An inventory management method where the oldest
stock is shipped first.",Operations Manager,Warehouse Pickers,"To ensure product rotation, especially
for perishable items or electronics.","Product spoilage; obsolete stock;
financial losses due to expired goods."
198,Bonded Warehouse,"A secured facility where imported goods are stored
before duties are paid.",Customs Authority,Importer / Warehouse,"To defer payment of taxes until the
goods are ready for domestic sale.","Immediate cash flow strain from paying
taxes on unsold goods."
199,Velocity Slotting,"Organizing the warehouse based on how frequently
items are picked.",WMS / Facility Planner,Floor Staff,"To place ""fast-movers"" near the
shipping area to reduce travel time.","High labor costs; slow fulfillment cycles;
worker fatigue."
200,"Certificate of Analysis
(COA)","A document confirming that a product meets its
required specifications.",Lab / Manufacturer,Quality Dept / Buyer,"To verify the quality and purity of
goods (common in food/pharma).","Legal liability; rejection of goods by the
end customer."
201,Pallet Pattern,"A diagram showing how cases should be stacked on
a pallet for stability.",Warehouse Engineer,Packers / Loaders,"To maximize space and prevent
products from collapsing
during transit.","Damaged goods due to shifting; inefficient
use of truck space."
202,Pick-to-Light,"A system using lights and LEDs on racks to guide
pickers to items.",System Integrator,Warehouse Pickers,"To increase picking speed and
accuracy by removing the need\
for paper.","High error rates; slower training time for
new warehouse staff."
203,"Service Level
Agreement (SLA)","A contract defining the expected level of service
(e.g., shipping speed).",Client / Customer,Warehouse / 3PL,"To set measurable performance
standards and penalties for failure.","Lack of accountability; inconsistent
service quality; disputes."
204,"RF (Radio Frequency)
Scanner","A handheld device used to scan barcodes and
update the WMS in real-time.",IT Dept,Warehouse Staff,"To eliminate manual data entry and
ensure inventory accuracy.","High human error; delayed data
updates; reliance on paper logs."
205,Pro Forma Invoice,"A preliminary bill of sale sent to buyers in advance of
a shipment.",Sales / Export Dept,Buyer / Customs,"To provide a formal quote for customs
or to secure pre-payment.","Delays in financing; customs clearance
issues for international trade."
206,"LIFO (Last-In, First-Out)","An inventory method where the most recently
produced items are sold first.",Finance / Accounting,Warehouse Pickers,"Used for non-perishable goods or
for specific tax/accounting benefits.","Outdated stock stays at the back;
potential for inventory ""drift."""
207,"Dimensional Weight
(Dim Weight)","A pricing technique using volume (L x W x H) rather
than actual weight.",Carrier,Shipper,"To charge for the space a package
occupies on a truck or plane.","Unexpectedly high shipping costs for
light but bulky items."
208,Proof of Delivery (POD),"A document (often digital) signed by the recipient to
confirm arrival.",Carrier / Driver,Consignee,"To legally confirm that the shipment
reached its final destination.","Inability to prove delivery; difficulty in
resolving ""lost shipment"" claims."
209,Kitting,"The process of taking individual items and bundling
them into a single unit.",Inventory Manager,Warehouse Packers,"To simplify the sale of ""sets"" or
""bundles"" and speed up shipping.","Inefficient picking; inability to sell
promotional bundles quickly."
210,Wave Picking,"A picking strategy where multiple orders are grouped
and picked together.",WMS / Floor Manager,Warehouse Pickers,"To reduce travel time by picking for
many orders in one ""wave"" or trip.","Extreme congestion in aisles; 
sloworder processing for high volumes."
211,Consolidation,"Combining multiple small shipments from different
suppliers into one load.",Freight Forwarder,Warehouse / Carrier,"To lower transportation costs by
maximizing vehicle capacity.","Higher shipping costs due to multiple
""half-empty"" truck runs."
212,"Inventory Shrinkage
Report","A report documenting the difference between
recorded and actual stock.",Inventory Auditor,"Management /
Loss Prevention","To identify loss due to theft, damage,
or administrative errors.","Financial leakage; inaccurate stock
levels leading to overselling."
213,AS/RS,"Automated Storage and Retrieval Systems;
computer-controlled systems for placing/retrieving
loads.",System Integrator,Warehouse Ops,"To automate high-density storage
and reduce manual labor.","High labor costs; slow retrieval in
massive facilities."
214,Mezzanine,"An intermediate floor built between main floors to
increase storage space.",Facility Engineer,Warehouse Manager,"To double or triple usable floor
space without expanding the building
footprint.","Overcrowding; wasted vertical space;
high real estate costs."
215,Dunnage,"Padding material (air bags, foam, scrap) used to
protect goods during transport.",Warehouse Packer,End Customer,"To prevent movement and damage
of goods inside a container or box.","High rate of damaged goods/returns;
customer dissatisfaction."
216,Blind Receiving,"A process where the receiver counts stock without
knowing the expected quantity.",Inventory Manager,Receiving Clerk,"To ensure the clerk actually counts
the stock rather than ""rubber-
stamping"" the PO.","Inaccurate inventory counts; hidden
shipping discrepancies."
217,Waybill,A document issued by a carrier giving details and instructions relating to the shipment.,Carrier,Consignee / Customs,To act as a non-negotiable receipt and tracking document for air/rail freight.,"Inability to track cargo; legal issues at
transit checkpoints."
218,"Labor Management
System (LMS)","Software that tracks and evaluates the productivity
of warehouse workers.",HR / Operations,Supervisors / Staff,"To optimize staffing levels and
identify training needs or high
performers.","Low productivity; inability to track labor
costs per order."
219,Incidents Report,"A formal document recording accidents, near-misses,
or equipment damage.",Safety Officer,Management / OSHA,"To track safety trends and implement
corrective actions.","Repeated accidents; legal liability; high
insurance premiums."
220,Free Trade Zone (FTZ),"A specific area where goods can be landed, handled,
and manufactured without customs intervention.",Govt Authority,Importers / Manufacturers,"To encourage commerce by deferring
or eliminating duties and taxes.","Competitive disadvantage; high upfront
customs costs."
221,Zone Picking,"A method where pickers are assigned to specific
""zones"" and pick only items in that area.",Warehouse Supervisor,Warehouse Pickers,"To minimize travel time by keeping
workers in a confined section of the
warehouse.","Inefficient travel paths; ""bottlenecks"" if
one zone is busier than others."
222,Dock Leveler,"Equipment used to bridge the gap between a
warehouse dock and a truck bed.",Maintenance Team,Forklift Operators,"To allow safe and smooth loading/
unloading of heavy pallets.","Forklift accidents; damaged goods
during loading; slow operations."
223,Lot Tracking,"The ability to track a group of items produced under
the same conditions/date.",Quality Dept,WMS / Consumers,"To facilitate targeted recalls in case
of a product defect.","Inability to perform recalls; massive legal/
safety risks."
224,"EDI (Electronic Data
Interchange)","The computer-to-computer exchange of business
documents in a standard format.",IT / Partners,All Stakeholders,"To automate communication between
suppliers, warehouses, and retailers.","Slow manual data entry; high risk
of clerical errors."
225,Pick-to-Voice,"A system where workers wear headsets and receive
verbal picking instructions.",IT / WMS Provider,Warehouse Pickers,"To allow ""eyes-up, hands-free"" picking
for higher speed and safety.","Slower picking; higher error rates due
to distractions."
226,Re-warehousing,"The process of moving items within a warehouse to
optimize space or picking paths.",Inventory Analyst,Forklift Operator,"To adjust storage based on changing
demand (e.g., seasonal items).","Inefficient picking; ""dead"" space in high-
traffic areas."
227,"MHE (Material Handling
Equipment)","Mechanical equipment used for the movement and
storage of goods (e.g., forklifts).",Procurement,Warehouse Staff,"To move heavy loads that cannot be
handled manually.","Inability to move stock; high risk of
worker injury."
228,Cross-Training Record,"A log showing which employees are trained on
different warehouse tasks.",HR / Floor Manager,Management,"To ensure operational flexibility
when staff members are absent.","Operational halts if a ""key"" person is
missing; low morale."
229,Dead Stock,"Inventory that has no sales or usage for a long
period of time.",Inventory Analyst,Finance Dept,"To identify items that should be
liquidated or disposed of to save
space.","High holding costs; lack of space for
new, profitable items."
230,Carton Flow Rack,"A storage system using inclined rollers to allow boxes
to slide forward.",Facility Planner,Pickers,"To ensure FIFO at the picking face
and reduce reaching for workers.","Inefficient picking; messy aisles; stock
hidden at the back."
231,Load Plan,"A diagram or list showing how cargo should be
arranged in a truck/container.",Logistics Planner,Loader / Driver,"To balance weight distribution and
ensure the last-stop items are
loaded last.","Vehicle instability/accidents; excessive
unloading time at stops."
232,Cold Chain Log,"A record of temperature readings for perishable goods
during storage/transit.",Quality Control,Regulatory Bodies,"To prove that food or medicine remained
at safe temperatures.","Product spoilage; health risks; rejection
of entire shipments."
233,Slipsheet,"A thin, pallet-sized sheet of plastic or fiberboard used
for heavy loads.",Shipper,Receiver,"To save space and weight in shipping
containers compared to wooden pallets.","Inefficient space usage; higher shipping
costs due to pallet weight."
234,Bollard,"A short, sturdy post installed to protect racks and
walls from forklift impact.",Facility Manager,Maintenance Team,"To prevent structural damage to the
warehouse during vehicle maneuvers.","Expensive repairs; risk of rack collapse
from accidental bumps."
235,Honeycomb,"A situation where storage cells are only partially filled,
wasting space.",Inventory Analyst,Warehouse Manager,"Term used to identify and fix inefficient
storage patterns.","Wasted storage capacity; increased
footprint costs."
236,Value-Added Services (VAS),"Extra tasks like labeling, gift wrapping, or assembly
performed in the warehouse.",Client / Customer,Warehouse Team,"To customize products for the end
consumer before they ship.","Missed revenue; inability to meet specific
retailer requirements."
237,Last Mile Delivery,"The final leg of the logistics journey, from the
warehouse to the customer's door.",Dispatcher,End Customer,"To ensure the product reaches the final
user efficiently.","Poor customer experience; high shipping
costs; delivery failures."
238,Floor Loading,"Stacking goods directly on the floor of a container
rather than on pallets.",Loading Supervisor,Receiver,"To maximize every cubic inch of space
in an ocean container.","Slower unloading times; requires more
manual labor at the destination."
239,Batch Picking,"Picking all the items for a group of orders at once
to minimize trips.",WMS,Warehouse Picker,"To increase efficiency by visiting one
location to fulfill multiple orders.","Extremely high travel time for pickers; low
productivity."
240,Cantilever Rack,"Storage racks with arms that extend out, used for
long items like pipes or lumber.",Procurement,Operations Team,"To safely store oversized or awkwardly
shaped materials.","Safety hazards; damage to long materials;
inefficient storage."
241,Reach Truck,"A type of forklift designed to reach into deep racking
systems.",Fleet Manager,Operator,"To operate in narrow aisles and reach
high-density storage levels.","Inability to use high-level storage;
requirement for wider aisles."
242,Dock Lock,"A safety device that hooks onto a truck’s rear
underride guard to prevent it from moving.",Warehouse Safety,Truck Driver,"To prevent ""trailer creep"" or accidental
pull-outs while loading.","Forklift falls from the dock; serious injuries
or death."
243,Gaylord Box,"A large, pallet-sized corrugated box used for bulk
shipping or scrap collection.",Packaging Supplier,Warehouse Staff,"To consolidate loose parts or bulk waste
for easy transport.","Messy warehouse floor; difficulty handling
bulk small items."
244,RFID Tag,"A tag that uses radio waves to transmit data about an
item without direct line-of-sight.",Manufacturer,Warehouse Receiving,"To allow for instant, bulk counting of
items in a box or pallet.","Manual scanning required; slower receiving
and inventory counts."
245,Order Consolidation,"Grouping items from different areas of the warehouse
into one single shipment.",WMS / Packer,Customer,"To reduce shipping costs and provide a
better ""unboxing"" experience.","High shipping costs (paying for multiple
boxes for one order)."
246,Cycle Time,"The total time it takes to complete a warehouse process
(e.g., dock-to-stock).",Operations Analyst,Management,"To measure and improve the speed of
warehouse operations.","Process bottlenecks; inability to meet
customer delivery promises."
247,Ebb and Flow,"The fluctuation of inventory levels based on seasonal
demand.",Planning Dept,Warehouse Manager,"To plan for temporary labor and extra
space during peak seasons.",Overstaffing during slow
248,Purchase Requisition (PR),An internal document requesting the purchase of goods or services.,Department Head / Employee,Procurement Department,To initiate the purchasing process and secure budget approval.,Unauthorized spending; procurement cannot officially begin sourcing.
249,Request for Quotation (RFQ),A document sent to suppliers asking for pricing and terms for specific items.,Procurement / Sourcing Buyer,Suppliers / Vendors,To compare prices and select the most cost-effective vendor.,Overpaying for goods; inability to compare market rates fairly.
250,Request for Proposal (RFP),A detailed document seeking comprehensive solutions and pricing for complex projects.,Procurement / Project Manager,Vendors / Service Providers,To evaluate potential suppliers based on value methodology and price.,Selection of an unqualified vendor; misalignment on project scope and deliverables.
251,Request for Information (RFI),A preliminary document used to gather general information about potential suppliers.,Procurement,Suppliers / Vendors,To build a database of potential vendors for future sourcing.,Lack of market awareness; missing out on capable new suppliers.
252,Purchase Order (PO),"A legally binding document authorizing a transaction and specifying items, quantities, and prices.",Procurement / Buyer,Supplier / Vendor,To legally commit to a purchase and set clear delivery expectations.,Legal disputes over orders; incorrect items or quantities delivered.
253,Goods Receipt Note (GRN),An internal document acknowledging the delivery and acceptance of goods.,Receiving Dept / Warehouse,Procurement / Finance,To confirm items were received in good condition before payment.,Paying for goods that were never delivered or arrived damaged.
254,Procure-to-Pay (P2P),The end-to-end process cycle from identifying a need to paying the supplier.,Procurement / Finance,Internal Stakeholders / Suppliers,To streamline purchasing and ensure accurate financial settlement.,Process bottlenecks; delayed vendor payments; financial inaccuracies.
255,Three-Way Matching,"The process of comparing the Purchase Order, the GRN, and the supplier invoice.",Accounts Payable / Finance,Procurement / Auditors,To ensure payment is only made for goods requested and received.,Invoice fraud; overpayment; paying for unreceived goods.
256,Supplier Scorecard,A tracking tool used to evaluate a vendor's performance over time.,Procurement / Vendor Manager,Supplier / Internal Management,"To measure KPIs like delivery time, quality, and responsiveness.",Continuing to use poor-performing vendors; supply chain disruptions.
257,Service Level Agreement (SLA),"A contract specifying the expected quality, speed, and standards of a service.",Procurement / Legal,Service Provider / Vendor,To define specific performance metrics and penalties for non-compliance.,Poor service quality with no legal recourse to penalize the vendor.
258,Bill of Materials (BOM),"A comprehensive list of raw materials, components, and instructions required to construct a product.",Engineering / Planning,Procurement / Manufacturing,To ensure exactly the right materials are sourced for production.,Purchasing incorrect parts; complete halt of the manufacturing line.
259,Total Cost of Ownership (TCO),A financial estimate combining the purchase price and the direct/indirect costs of operation.,Procurement Analyst,Management / Finance,To evaluate the long-term cost of an asset beyond just the initial price tag.,"Buying a ""cheap"" item that ends up costing excessively in maintenance and operation."
260,Vendor Managed Inventory (VMI),An arrangement where the supplier manages and replenishes inventory at the buyer's location.,Supplier,Procurement / Warehouse,To reduce inventory holding costs and prevent stockouts.,Higher warehousing costs; frequent stockouts of critical materials.
261,Blanket Purchase Order (BPO),A long-term agreement with a supplier to buy goods at a set price over a period of time.,Procurement,Supplier,To secure volume discounts and simplify repetitive purchasing.,Constant administrative work for minor orders; lost volume discounts.
262,Spend Analysis,"The process of collecting, cleansing, and evaluating purchasing data.",Procurement Analyst,Procurement Head / CFO,To identify cost-saving opportunities and understand spending patterns.,Unnoticed rogue spending; missed opportunities for bulk negotiations.
263,Lead Time,The total time elapsed between placing an order and receiving the goods.,Procurement / Planning,Production / Operations,To accurately plan inventory levels and production schedules.,Stockouts; production delays while waiting for materials to arrive.
264,Sourcing,"The process of identifying, evaluating, and engaging suppliers.",Procurement,N/A,To find the most reliable and cost-effective supply base.,Limited supplier options leading to higher costs and lower quality.
265,E-Procurement,The business-to-business requisitioning and purchasing of goods over the internet.,Procurement / IT,Internal Users / Suppliers,To automate manual procurement tasks and increase transparency.,Slow manual processes; high paperwork costs; human errors in ordering.
266,Master Service Agreement (MSA),A contract negotiated to govern all future transactions and agreements between parties.,Legal / Procurement,Supplier / Legal,To speed up future contracts by agreeing on foundational terms upfront.,Lengthy legal negotiations for every single minor purchase or project.
267,Non-Disclosure Agreement (NDA),A legal contract protecting sensitive information shared during the sourcing process.,Legal / Procurement,Supplier,To ensure proprietary company data is not shared with competitors.,Data breaches; intellectual property theft.
268,Supplier Relationship Management (SRM),A systematic approach to evaluating and managing vendor relationships.,Procurement Head,Suppliers,To build strategic partnerships and drive continuous improvement.,Strained vendor relations; lack of innovation or priority during shortages.
269,Maverick Spend,Purchasing goods or services outside of established contracts or procedures.,Internal Employees,N/A,N/A (This is a negative behavior tracked to prevent it),Loss of negotiated discounts; compliance risks; budget overruns.
270,Contract Lifecycle Management (CLM),The proactive management of a contract from initiation to renewal or termination.,Contract Manager,Legal / Suppliers,To ensure compliance and avoid missing renewal deadlines.,Expired contracts; unintentional auto-renewals; compliance violations.
271,Supplier Onboarding,The process of collecting data and integrating a new vendor into the purchasing system.,Procurement / Master Data,New Supplier,To ensure the vendor meets all legal and financial compliance standards before doing business.,Fraudulent vendors; tax compliance issues; payment delays.
272,Strategic Sourcing,A comprehensive approach to sourcing that focuses on the total value and long-term goals.,Sourcing Manager,Executive Management,To align purchasing strategies with the overall business objectives.,Tactical buying that focuses only on lowest price rather than overall value.
273,Just-in-Time (JIT) Procurement,A strategy where materials are ordered to arrive exactly when they are needed in production.,Procurement / Planning,Suppliers,To minimize inventory holding costs and reduce warehouse space requirements.,High storage costs; inventory obsolescence; capital tied up in stock.
274,Minimum Order Quantity (MOQ),The smallest amount of stock a supplier is willing to sell in a single order.,Supplier,Procurement,To ensure the supplier covers their setup and production costs.,Orders are rejected by the supplier; forced to buy more stock than needed.
275,Safety Stock,Extra inventory held to guard against unexpected spikes in demand or supply delays.,Inventory Planning,Warehouse,To act as a buffer against supply chain disruptions.,Severe stockouts leading to halted production or lost sales.
276,Category Management,The practice of grouping similar items to buy them more efficiently.,Category Manager,Suppliers,To leverage buying power and develop deep market expertise in specific areas.,Fragmented purchasing; missed volume discounts across different departments.
277,Statement of Work (SOW),"A document defining project-specific activities, deliverables, and timelines.",Project Manager / Procurement,Service Provider,To set clear boundaries and expectations for a service contract.,Scope creep; disputes over what work was actually paid for.
278,Two-Way Matching,Verifying that the Purchase Order and the Invoice match (typically used for services where there is no GRN).,Accounts Payable,Supplier,To authorize payment for intangible services.,Paying for services that were not agreed upon or authorized.
279,Cost Avoidance,Actions taken to prevent future cost increases rather than reducing current costs.,Procurement,Finance / Management,To protect the budget from inflation or upcoming price hikes.,Uncontrolled budget inflation; hidden supply chain costs.
280,Cost Savings,Tangible reductions in the unit price of goods or services compared to historical prices.,Procurement,Finance / Management,To directly improve the company's bottom line profitability.,Stagnant profitability; failure to leverage market changes.
281,Invoice Processing,The steps taken to handle a supplier invoice from receipt to final payment.,Accounts Payable,Supplier,To ensure timely and accurate settlement of debts.,Late payment fees; damaged supplier relationships.
282,Payment Terms,The conditions under which a seller will complete a sale (e.g. Net 30 or Net 60).,Procurement / Finance,Supplier,To manage the company's cash flow effectively.,Cash flow shortages; disputes over when payment is due.
283,Open Account,A trade arrangement where goods are shipped and delivered before payment is due.,Supplier,Procurement,To provide flexible purchasing without immediate upfront cash.,High risk for the supplier; requires strong buyer creditworthiness.
284,Incoterms,International rules defining the responsibilities of buyers and sellers in global trade.,International Chamber of Commerce,Procurement / Logistics,To clearly define who pays for shipping and who bears the risk of loss.,Legal disputes over damaged cargo; unexpected freight or insurance costs.
285,Letter of Credit (L/C),A bank guarantee that a buyer's payment to a seller will be received on time.,Buyer's Bank,Supplier's Bank,To eliminate credit risk for the seller in international transactions.,Suppliers refuse to ship goods; extreme financial risk in global trade.
286,Reverse Auction,An event where multiple sellers compete to obtain business by lowering their prices.,Procurement,Suppliers,To rapidly drive down prices for highly standardized commodities.,Overpaying for standard goods; slow manual negotiation processes.
287,Supplier Code of Conduct,Guidelines detailing the ethical and environmental standards expected from vendors.,Compliance / Procurement,Suppliers,To ensure suppliers align with the company's ESG and legal standards.,Public relations disasters; association with unethical labor or environmental practices.
288,Direct Procurement,Purchasing raw materials and components directly used in manufacturing the final product.,Procurement,Suppliers,To maintain the core production line and revenue generation.,Production line stoppages; immediate loss of sales.
289,Indirect Procurement,Purchasing goods and services needed for day-to-day operations (e.g. software or office supplies).,Procurement,Suppliers,To keep the business running and support internal employees.,Inefficient workplace operations; employee frustration; unchecked operational spending.
290,Order Acknowledgement,A supplier's formal confirmation that they have received and accepted a Purchase Order.,Supplier,Procurement,To confirm that pricing and delivery dates are agreed upon.,Uncertainty if goods will arrive; supplier unexpectedly rejects the order later.
291,Backorder,An order for a good or service that cannot be filled at the current time due to lack of stock.,Supplier,Procurement / Customer,To keep the order active until inventory is replenished.,Lost sales; customer dissatisfaction if they are not informed of the delay.
292,Early Payment Discount,A percentage deduction offered by a seller if the buyer pays the invoice before its due date.,Supplier,Accounts Payable / Finance,To incentivize fast payment and improve the supplier's cash flow.,Missed opportunities for immediate cost savings; higher overall purchase costs.
293,Project Charter,"A document that formally authorizes the
existence of a project.",Project Sponsor,Project Manager,"Provides the PM authority to
use organizational resources.","No clear authority; project may be
seen as ""unauthorized."""
294,Business Case,"A justification for the project based on cost,
benefits, and risks.",Sponsor / Business Analyst,Steering Committee,"To prove the project is worth
the investment.","Money may be wasted on projects
with no ROI."
295,Stakeholder Register,"A list identifying all people or groups interested
in the project.",Project Manager,Project Team,"To track influence and
communication needs.","Key people might be ignored,
leading to resistance."
296,Scope Statement,"A detailed description of project deliverables
and boundaries.",Project Manager,Client / Team,"To define what is (and isn't)
included in the project.","""Scope creep"" where work grows
uncontrollably."
297,"WBS 
(Work Breakdown Structure)","A hierarchical decomposition of the total scope
of work.",Project Team,Project Manager,"To break down complex tasks
into manageable chunks.","Tasks are missed; poor cost and
time estimation."
298,Project Management Plan,"The master document defining how the project is
executed and controlled.",Project Manager,All Stakeholders,"To provide a baseline for
progress and decision-making.","Lack of direction; team works in
silos."
299,Gantt Chart,"A visual timeline showing tasks, durations, and
dependencies.",Project Manager,Project Team / Client,"To track the schedule and see
task overlaps.","Deadlines are missed; team
doesn't know what's next."
300,Risk Register,"A log of potential ""what-if"" scenarios and their
response plans.",Project Team,Project Manager,"To identify and mitigate threats
before they happen.","Project is blindsided by predictable
problems."
301,RACI Matrix,"A chart showing who is Responsible,
Accountable, Consulted, and Informed.",Project Manager,Project Team,"To clarify roles and avoid
confusion over task ownership.","Duplicate work or tasks ""falling
through the cracks."""
302,Change Request,"A formal proposal to modify any document,
deliverable, or baseline.",Any Stakeholder,"Change Control
Board (CCB)","To ensure changes are
evaluated for impact on
cost/time.","Uncontrolled changes lead to
budget and time overruns."
303,Issue Log,"A record of current problems affecting the
project.",Project Manager,Project Team,"To document, track, and resolve
active hurdles.","Problems are forgotten and
escalate into disasters."
304,Status Report,"A regular update on the current health of the
project.",Project Manager,Sponsor / Client,"To keep stakeholders informed
on progress vs. plan.","Stakeholders lose trust or lack
visibility."
305,Quality Management Plan,"Standards and criteria the project must meet to
be successful.",Quality Lead / PM,Project Team,"To ensure the final product is
fit for use.","High defect rates and client
dissatisfaction."
306,Resource Calendar,"A schedule showing when specific resources
(people/equip) are available.",Resource Manager,Project Manager,"To avoid over-allocating people
or tools.","Resource conflicts; team members
are overworked."
307,"Procurement Statement
of Work","A description of work to be done by an outside
vendor.",Project Manager,Potential Vendors,"To clearly define what a
contractor must deliver.","Disputes with vendors over what
was ""promised."""
308,Milestone List,A list of significant points or events in a project.,Project Manager,Client / Sponsor,"To show high-level progress
without getting lost in details.","Hard to judge if the project is
""on track"" overall."
309,Communication Plan,"A strategy for who gets what info, when,
and how.",Project Manager,All Stakeholders,"To ensure the right people are
always informed.","Information silos; stakeholders
feel left out."
310,Critical Path,"The sequence of tasks that determines the
shortest project duration.",Project Manager,Project Team,"To identify tasks that cannot be
delayed without delaying
the project.","Inability to prioritize tasks that
impact the end date."
311,Lesson Learned Register,"A document recording what went well and what
didn't.",Project Team,Organization (PMO),"To improve performance in
future projects.","Repeating the same mistakes in
the next project."
312,Project Closure Report,"A formal document confirming the project is
finished.",Project Manager,Sponsor / Client,"To handover deliverables and
release resources.","Projects ""drag on"" indefinitely
without a clean end."
313,Product Backlog,"An ordered list of everything that might
be needed in the product.",Product Owner,Scrum Team,"To serve as the single source of
requirements for any changes.","Team lacks a clear priority of what
to build next."
314,Sprint Backlog,"A set of backlog items selected for a specific
Sprint (short work cycle).",Development Team,Scrum Team,"To define the work the team
commits to doing in the next
2-4 weeks.","Lack of focus during the work
cycle; over-commitment."
315,Burn-down Chart,"A graphic representation of work left to do
versus time.",Scrum Master / PM,Project Team,"To track the progress of a sprint
and predict if work will finish.","Team won't realize they are
behind until the deadline hits."
316,Velocity,"A measure of the amount of work a team
can tackle during a single period.",Development Team,Product Owner / PM,"To help in planning future
capacity and timelines.","Unrealistic scheduling and
""guess-work"" planning."
317,"Cost Performance
Index (CPI)","A measure of the financial effectiveness of a
project ($EV / AC$).",Project Manager,Sponsor / Stakeholders,"To see if the project is under or
over budget.","Financial ""bleeding"" goes
unnoticed until funds run out."
318,"Schedule Performance
Index (SPI)",A measure of schedule efficiency ($EV / PV$).,Project Manager,Sponsor / Stakeholders,"To see if the project is ahead of
or behind schedule.","Delays are not quantified,
making recovery difficult."
319,Assumption Log,"A record of all factors believed to be true without
proof.",Project Manager,Project Team,"To track variables that could
become risks if proven false.","Decisions are made based on
""guesses"" that may fail."
320,Quality Metrics,"Specifically defined attributes to be measured
(e.g., failure rate).",Quality Lead,Project Team,"To provide an objective way to
measure ""success.""","Quality is subjective; arguments
over ""finished"" work."
321,"Responsibility Assignment
Matrix (RAM)","A grid showing project resources assigned to
each work package.",Project Manager,Functional Managers,"To ensure every task has a
body assigned to it.","Resources are under-utilized or
double-booked."
322,Variance Analysis,"The practice of comparing planned results with
actual results.",Project Manager,Project Board,"To identify why the project is
deviating from the plan.","No understanding of why the
project is failing or succeeding."
323,Kick-off Meeting Agenda,"A document outlining the first formal meeting
with all stakeholders.",Project Manager,All Stakeholders,"To align everyone on goals and
set the tone for the project.","Confusion from day one; lack of
team cohesion."
